,Unnamed: 0,stop_name,next_stop_name,trip_count,frequency,total_passengers,totalTripTime,distance,OriginLat,OriginLon,DestLat,DestLon,stop_city,next_stop_city,stop_city_distance,next_stop_city_distance,capacity
1125,1125,Stuttgart Hbf,Bruchsal,15,3329.0,3090,156.0,65.39736680901778,48.784748,9.183217,49.125088,8.590113,Stuttgart,Mannheim,10.925799202652843,39.091777200410874,10140
1126,1126,Stuttgart Hbf,Böblingen,26,5353.0,5356,141.0,22.31989819079116,48.784748,9.183217,48.688004,9.00438,Stuttgart,Stuttgart,10.925799202652843,16.021007405672478,17576
1127,1127,Stuttgart Hbf,Heidelberg Hbf,38,5825.0,7828,612.0,91.4225864259148,48.784748,9.183217,49.40382,8.674716,Stuttgart,Mannheim,10.925799202652843,13.960072919863894,25688
1128,1128,Stuttgart Hbf,Karlsruhe Hbf,9,1352.0,1854,39.0,78.80096944733107,48.784748,9.183217,48.993355,8.401269,Stuttgart,Karlsruhe/Baden-Baden,10.925799202652843,33.459383086339024,6084
1129,1129,Stuttgart Hbf,Ludwigsburg,1,260.0,206,330.0,13.614917568234272,48.784748,9.183217,48.892147,9.185409,Stuttgart,Stuttgart,10.925799202652843,22.650859524979385,676
1130,1130,Stuttgart Hbf,Mannheim Hbf,161,18459.0,33166,199.0,106.81560202340928,48.784748,9.183217,49.479076,8.46982,Stuttgart,Mannheim,10.925799202652843,3.2828876796309263,108836
1131,1131,Stuttgart Hbf,Mühlacker,1,104.0,206,173.0,37.10406184345726,48.784748,9.183217,48.953194,8.846101,Stuttgart,Stuttgart,10.925799202652843,40.237952799133545,676
1132,1132,Stuttgart Hbf,Pforzheim Hbf,1,0.0,206,332.0,50.6848094197851,48.784748,9.183217,48.89421,8.702699,Stuttgart,Stuttgart,10.925799202652843,44.40578100829925,676
1133,1133,Stuttgart Hbf,Plochingen,13,1352.0,2678,449.0,21.907056365625323,48.784748,9.183217,48.71296,9.411353,Stuttgart,Stuttgart,10.925799202652843,14.174761744938843,8788
1134,1134,Stuttgart Hbf,Schorndorf,2,676.0,412,126.0,29.493373942971232,48.784748,9.183217,48.806984,9.525861,Stuttgart,Stuttgart,10.925799202652843,25.864939201641036,1352
1135,1135,Stuttgart Hbf,Schwäbisch Gmünd,9,2392.0,1854,402.0,50.354916964311904,48.784748,9.183217,48.801086,9.788097,Stuttgart,Stuttgart,10.925799202652843,43.432921342820485,6084
1136,1136,Stuttgart Hbf,Stuttgart-Vaihingen,1,364.0,206,115.0,12.02304955121144,48.784748,9.183217,48.72628,9.113226,Stuttgart,Stuttgart,10.925799202652843,8.967158615035196,676
1137,1137,Stuttgart Hbf,Ulm Hbf,164,22412.0,33784,309.0,89.0205743757613,48.784748,9.183217,48.399345,9.982816,Stuttgart,Memmingen,10.925799202652843,49.47826424853365,110864
