,stop_name,next_stop_name,Unnamed: 0,trip_id,stop_id,stop_sequence,route_short_name,next_stop_id,totalTripTime,osm_distance,OriginLat,OriginLon,DestLat,DestLon
93,Berlin Hbf,Berlin-Wannsee,20492,359808,200540,1,IC 56,427661.0,329.0,22.577680678465697,52.524967,13.369527,52.421402,13.180358
94,Berlin Hbf,Hamburg Hbf,34344,752057,190233,4,ICE 28,500722.0,224.0,285.80933712847184,52.52519,13.369752,53.55252,10.007353
95,Berlin Hbf,Schwerin Hbf,38847,103059,190233,6,IC 17,517674.0,262.0,207.6489447961324,52.52519,13.369752,53.63563,11.407544
96,Berlin Ostbahnhof,Berlin Hbf,3678,2771,651629,0,ICE 12,147175.0,488.0,16.8955470738039,52.510414,13.435172,52.52511,13.369472
97,Berlin Ostbahnhof,Berlin Ostkreuz,21340,96875,299861,21,IC 56,391715.0,378.0,3.6122181565580425,52.510178,13.434942,52.502907,13.468553
98,Berlin Ostbahnhof,Dresden-Neustadt,43344,248869,542375,9,EC 27,651231.0,328.0,184.98514825420511,52.510242,13.434586,51.066097,13.740235
99,Berlin Ostbahnhof,Frankfurt(Oder),36337,254908,542375,1,EC 95,265905.0,54.0,80.78327589908324,52.510242,13.434586,52.336563,14.545988
100,Berlin Ostkreuz,Berlin Gesundbrunnen,39056,290320,283561,5,IC 17,413757.0,265.0,12.118371700972345,52.503067,13.469961,52.54869,13.390501
101,Berlin Ostkreuz,Berlin Hbf,42673,191663,572319,2,ICE 27,200540.0,197.0,13.28332891724586,52.50304,13.468615,52.524967,13.369527
102,Berlin Ostkreuz,Berlin Ostbahnhof,36316,154660,572319,3,EC 95,651629.0,59.0,3.612218156558042,52.50304,13.468615,52.510414,13.435172
103,Berlin Ostkreuz,Berlin-Lichtenberg,39095,392356,283561,7,IC 17,558943.0,166.0,3.3512238100070597,52.503067,13.469961,52.510002,13.49649
104,Berlin Ostkreuz,Flughafen BER,39071,36159,16426,1,IC 17,131752.0,101.0,26.084396820545813,52.503128,13.469622,52.364323,13.509145
105,Berlin Ostkreuz,Frankfurt(Oder),36354,433053,391715,2,EC 95,265905.0,55.0,81.30681974823115,52.502907,13.468553,52.336563,14.545988
106,Berlin Ostkreuz,S Königs Wusterhausen Bhf,21341,96875,391715,22,IC 56,582262.0,378.0,27.31260608245007,52.502907,13.468553,52.296642,13.631479
107,Berlin Südkreuz,Berlin Hbf,42967,3616,622546,2,ICE 29,66821.0,336.0,8.417619772718078,52.475407,13.365754,52.525143,13.369612
108,Berlin Südkreuz,Bitterfeld,22000,38055,605755,7,ICE 18,304607.0,463.0,129.94587345692145,52.475925,13.365291,51.62286,12.31685
109,Berlin Südkreuz,Chemnitz Hbf,38943,1280551,436758,2,IC 17,634572.0,165.0,208.33967566493385,52.475887,13.365455,50.839695,12.930877
110,Berlin Südkreuz,Doberlug-Kirchhain,42695,473271,541803,1,ICE 27,666623.0,108.0,113.59751505318714,52.475433,13.365603,51.62053,13.564161
111,Berlin Südkreuz,Dresden-Neustadt,43435,58224,605755,7,EC 27,651231.0,258.0,186.39743244676225,52.475925,13.365291,51.066097,13.740235
112,Berlin Südkreuz,Flughafen BER,39181,63048,605755,2,IC 17,152814.0,108.0,28.952257307207173,52.475925,13.365291,52.36424,13.509191
113,Berlin Südkreuz,Halle(Saale)Hbf,43065,7048,605755,2,ICE 29,199582.0,238.0,159.59570002344324,52.475925,13.365291,51.47751,11.987085
114,Berlin Südkreuz,Leipzig Hbf,43120,919187,177624,2,ICE 29,233006.0,288.0,164.23355543556443,52.475685,13.365454,51.34547,12.382064
115,Berlin Südkreuz,Lutherstadt Wittenberg Hbf,34174,43883,177624,5,ICE 28,481287.0,290.0,92.70385697126764,52.475685,13.365454,51.86781,12.662285
116,Berlin Südkreuz,Nürnberg Hbf,42891,230165,177624,1,ICE 29,656568.0,225.0,442.1825537400922,52.475685,13.365454,49.44541,11.082291
117,Berlin Südkreuz,Schönefeld(bei Berlin),43193,1215402,541803,9,EC 27,162009.0,231.0,20.83106587536704,52.475433,13.365603,52.39115,13.512816
118,Berlin Zoologischer Garten,Berlin Hbf,34258,5768,535633,7,ICE 28,561143.0,286.0,15.21220574566578,52.50762,13.332927,52.524788,13.369667
119,Berlin Zoologischer Garten,Berlin-Charlottenburg,36319,154660,231593,6,EC 95,384927.0,59.0,2.292173954740335,52.50768,13.332686,52.504173,13.301819
120,Berlin Zoologischer Garten,Berlin-Spandau,3680,2771,231593,2,ICE 12,588194.0,488.0,11.780238985741413,52.50768,13.332686,52.5346,13.197163
121,Berlin Zoologischer Garten,Berlin-Wannsee,27226,89188,117277,2,ICE 43,427661.0,534.0,14.997575030622412,52.507717,13.332555,52.421402,13.180358
122,Berlin Zoologischer Garten,Braunschweig Hbf,25527,1222092,117277,2,ICE 43,331031.0,429.0,212.25739445504064,52.507717,13.332555,52.25227,10.54085
123,Berlin Zoologischer Garten,Stendal Hbf,20781,49329,231593,2,IC 56,627546.0,293.0,103.71421120548624,52.50768,13.332686,52.594723,11.854412
124,Berlin-Lichtenberg,Berlin Gesundbrunnen,36342,35741,558943,3,EC 95,400896.0,75.0,10.174606590949482,52.510002,13.49649,52.548573,13.390519
125,Berlin-Lichtenberg,Berlin Ostkreuz,39070,36159,381259,0,IC 17,16426.0,101.0,3.3512238100070597,52.510124,13.496304,52.503128,13.469622
126,Berlin-Lichtenberg,Frankfurt(Oder),12615,23461,301957,1,EC 96,265905.0,65.0,79.49243290232371,52.510277,13.497433,52.336563,14.545988
127,Berlin-Spandau,Berlin Gesundbrunnen,41858,80464,402735,7,IC 77,400896.0,213.0,21.450532351422616,52.534542,13.197124,52.548573,13.390519
128,Berlin-Spandau,Berlin Hbf,5078,12227,341415,10,ICE 13,147175.0,259.0,12.865009409666458,52.534485,13.1971,52.52511,13.369472
129,Berlin-Spandau,Berlin Zoologischer Garten,5526,80615,341415,9,ICE 13,665317.0,286.0,11.780238985741407,52.534485,13.1971,52.507652,13.332804
